Day,Gas Price,Oil Price
5/2/2016,1.91,45.82
04/29/2016,1.89,45.64
04/28/2016,1.88,45.6
04/27/2016,1.88,44.17
04/26/2016,1.97,43.94
04/25/2016,1.97,42.97
04/22/2016,1.92,43.97
04/21/2016,1.96,43.48
04/20/2016,1.94,43.09
04/19/2016,1.94,43.02
04/18/2016,1.76,41.64
04/15/2016,1.71,41.32
04/14/2016,1.93,43.02
04/13/2016,2.01,42.81
4/12/2016,1.97,43.02
4/11/2016,1.9,41.58
4/8/2016,1.99,40.71
4/7/2016,1.96,37.15
4/6/2016,1.91,37.77
4/5/2016,1.96,35.88
4/4/2016,1.96,36.05
4/1/2016,1.88,36.42
03/31/2016,1.98,36.75
03/30/2016,1.87,36.75
03/29/2016,1.77,36.75
03/28/2016,1.78,38.33
03/24/2016,1.78,38.33
03/23/2016,1.79,38.84
03/22/2016,1.79,40.54
03/21/2016,1.79,39.91
03/18/2016,1.84,39.26
03/17/2016,1.84,39.29
03/16/2016,1.77,38.38
03/15/2016,1.81,37.49
03/14/2016,1.68,38.06
3/11/2016,1.74,39.41
3/10/2016,1.72,38.63
3/9/2016,1.61,40.26
3/8/2016,1.6,39.16
3/7/2016,1.56,39.02
3/4/2016,1.49,37.61
3/3/2016,1.59,35.75
3/2/2016,1.6,36.38
3/1/2016,1.57,35.73
02/29/2016,1.62,35.92
02/26/2016,1.78,35.76
02/25/2016,1.78,32.83
02/24/2016,1.85,31.5
02/23/2016,1.85,31.9
02/22/2016,1.86,33.59
02/19/2016,1.83,31.66
02/18/2016,1.89,33.2
02/17/2016,1.93,33.21
02/16/2016,1.95,31.09
2/12/2016,2.08,31.8
2/11/2016,2.15,28.82
2/10/2016,2.16,29.64
2/9/2016,2.17,30.15
2/8/2016,2.23,31.64
2/5/2016,2.08,32.35
2/4/2016,2.07,32.76
2/3/2016,2.06,32.38
2/2/2016,2.07,30.98
2/1/2016,2.28,32.45
01/29/2016,2.28,33.14
01/28/2016,2.15,33.01
01/27/2016,2.26,31.83
01/26/2016,2.26,30.94
01/25/2016,2.16,29.82
01/22/2016,2.21,30.46
01/21/2016,2.22,27.59
01/20/2016,2.18,26.01
01/19/2016,2.23,27.36
01/18/2016,2.18,27.36
01/15/2016,2.18,28.8
01/14/2016,2.21,28.84
01/13/2016,2.28,28.58
1/12/2016,2.4,29.14
1/11/2016,2.54,30.14
1/8/2016,2.47,31.67
1/7/2016,2.35,33.57
1/6/2016,2.37,33.89
1/5/2016,2.33,35.56
1/4/2016,2.39,36.28
12/31/2015,2.28,36.61
12/30/2015,2.28,35.65
12/29/2015,2.39,36.85
12/28/2015,2.11,37.08
12/24/2015,1.63,37.22
12/23/2015,1.63,35.79
12/22/2015,1.73,35.26
12/21/2015,1.76,35.34
12/18/2015,1.74,36.76
12/17/2015,1.79,36.29
12/16/2015,1.7,36.96
12/15/2015,1.66,37.66
12/14/2015,1.7,36.51
12/11/2015,1.79,36.99
12/10/2015,1.95,38.65
12/9/2015,2,39.04
12/8/2015,2.01,39.44
12/7/2015,2.06,39.69
12/4/2015,2.1,41.44
12/3/2015,2.14,42
12/2/2015,2.19,41.92
12/1/2015,2.11,42.97
11/30/2015,2.11,43.73
11/27/2015,2.14,43.07
11/26/2015,2.14,43.55
11/25/2015,2.14,43.56
11/24/2015,2.14,44.38
11/23/2015,2.18,43.7
11/20/2015,2.18,42.49
11/19/2015,2.1,42.22
11/18/2015,2.1,41.45
11/17/2015,2.05,41.28
11/16/2015,2.02,40.28
11/13/2015,2.02,41.98
11/12/2015,2.05,44.98
11/11/2015,2.13,44.98
11/10/2015,2.14,46.44
11/9/2015,2.19,45.38
11/6/2015,2.19,46.09
11/5/2015,2.04,47.19
11/4/2015,2.04,46.96
11/3/2015,1.92,48
11/2/2015,1.92,47.91
10/30/2015,1.98,48
10/29/2015,2.15,48.04
10/28/2015,2.14,47.6
10/27/2015,2.14,45.54
10/26/2015,2.18,46.57
10/23/2015,2.28,46.3
10/22/2015,2.37,46.59
10/21/2015,2.37,46.72
10/20/2015,2.46,46.93
10/19/2015,2.43,47.51
10/16/2015,2.42,48.96
10/15/2015,2.54,47.87
10/14/2015,2.47,48.25
10/13/2015,2.47,48.94
10/12/2015,2.48,50.95
10/9/2015,2.49,52.08
10/8/2015,2.35,52.13
10/7/2015,2.35,51.66
10/6/2015,2.35,51.34
10/5/2015,2.34,49.45
10/2/2015,2.37,46.55
10/1/2015,2.37,47.48
09/30/2015,2.47,47.29
09/29/2015,2.57,47.58
09/28/2015,2.66,46.04
09/25/2015,2.6,47.28
